ID,AppName,MobileDeviceBrand,DeveloperManufacturer,IsCapture,IsEditor,Licensor
293,"Camly Photo Editor","Android","",0,0,""
294,"GoPro App","Android","",0,0,""
295,"Photo Ediotr by Aviary","Android","",0,0,""
296,"PhotoDirector","Android","",0,0,""
297,"Cymera","Android","",0,0,""
298,"Pic Collage","Android","",0,0,""
299,"Pixgram","Android","",0,0,""
300,"Mirror Photo ","Android","",0,0,""
301,"Flipgram","Android","",0,0,""
302,"Magisto Video Editor","Android","",0,0,""
303,"Adobe Photoshop Express","Android","",0,0,""
304,"VideoShow","Android","",0,0,""
305,"iGrann","Blackberry","",0,0,""
306,"Photo Studio","Blackberry","",0,0,""
307,"ScreenGrabber Free","Blackberry","",0,0,""
308,"PicStory","Blackberry","",0,0,""
309,"Photo-sketch HD","Blackberry","",0,0,""
310,"PicMix ","Blackberry","",0,0,""
311,"PicMix for BlackBerry 10","Blackberry","",0,0,""
312,"FREE Photo Grid","Blackberry","",0,0,""
313,"PhotoFonty","Blackberry","",0,0,""
314,"Flash Light Free","Blackberry","",0,0,""
315,"Free Camrea 365+","Blackberry","",0,0,""
316,"Free Photo Collage","Blackberry","",0,0,""
317,"PhotoLab Free","Blackberry","",0,0,""
318,"PicsArt","Blackberry","",0,0,""
319,"Flashlight Linterna","Blackberry","",0,0,""
320,"Photo Effects","Blackberry","",0,0,""
321,"Screen Snapp (Free Screenshot)","Blackberry","",0,0,""
322,"Remote Selfie","Blackberry","",0,0,""
323,"Screen Capture Free","Blackberry","",0,0,""
324,"FREE Camera +","Blackberry","",0,0,""
325,"Photo Editor Ultimate Free","Blackberry","",0,0,""
326,"Bright Camera","Blackberry","",0,0,""
327,"Capture Professional Free ","Blackberry","",0,0,""
328,"Photo Frames - Valenites Edition","Blackberry","",0,0,""
329,"Free Valentine  Special - Photo Collage","Blackberry","",0,0,""
330,"Panorama 360 Free","Blackberry","",0,0,""
331,"Free Valentine Special - Insta Photo Collage","Blackberry","",0,0,""
332,"Mock It","Blackberry","",0,0,""
333,"Night Vision Camera","Blackberry","",0,0,""
334,"FREE Screen Capture","Blackberry","",0,0,""
335,"Ghost Camera","Blackberry","",0,0,""
336,"Photo Collage Maker Free","Blackberry","",0,0,""
337,"Photo Editor Free","Blackberry","",0,0,""
338,"Photo Smudge Freee","Blackberry","",0,0,""
339,"Free Photo Stitch","Blackberry","",0,0,""
340,"Hide Media","Blackberry","",0,0,""
341,"Free Photo Mania 360","Blackberry","",0,0,""
342,"Spy Camera Free","Blackberry","",0,0,""
343,"Silent-Camera","Blackberry","",0,0,""
344,"Effectica Social","Blackberry","",0,0,""
345,"Picture Effects Free","Blackberry","",0,0,""
346,"Free Split Camera","Blackberry","",0,0,""
347,"Clone Camera Free","Blackberry","",0,0,""
348,"PhotoCard","Blackberry","",0,0,""
349,"Video ScreenShots","Blackberry","",0,0,""
350,"Collage Maker Free","Blackberry","",0,0,""
351,"Photo Splasher","Blackberry","",0,0,""
352,"Sketch Me Free","Blackberry","",0,0,""
353,"A+ Picture Effects ","Blackberry","",0,0,""
354,"Free Collage 365","Blackberry","",0,0,""
355,"Face Changer Free","Blackberry","",0,0,""
356,"Selfie Assistant","Blackberry","",0,0,""
357,"PhotoFunia","Blackberry","",0,0,""
358,"Pencil Sketch Art Free","Blackberry","",0,0,""
359,"Sketch Guru Free","Blackberry","",0,0,""
360,"Square DP","Blackberry","",0,0,""
361,"Fusion Camera Free","Blackberry","",0,0,""
362,"InstaText","Blackberry","",0,0,""
363,"Dabinci Cam","Blackberry","",0,0,""
364,"Free Silent Camera","Blackberry","",0,0,""
365,"Spark Me","Blackberry","",0,0,""
366,"Burst Camera Free","Blackberry","",0,0,""
367,"Photo Distortions with Framees Sketch and Splasher","Blackberry","",0,0,""
368,"Dual Camera Free","Blackberry","",0,0,""
369,"Free Ghost Camera","Blackberry","",0,0,""
370,"Photo Studio Pro","Blackberry","",0,0,""
371,"Photo Shape Maker Free Limited Period Offer","Blackberry","",0,0,""
372,"ViSS","Blackberry","",0,0,""
373,"Crop Photos","Blackberry","",0,0,""
374,"Free Photo Splasher ","Blackberry","",0,0,""
375,"Face Timer Free","Blackberry","",0,0,""
376,"Free Pic Joiner","Blackberry","",0,0,""
377,"Camera ++ Free","Blackberry","",0,0,""
378,"Scary Face Maker Free","Blackberry","",0,0,""
379,"Mirror for BlackBerry 10","Blackberry","",0,0,""
380,"Photo Collage","Blackberry","",0,0,""
381,"Fotomixer","Blackberry","",0,0,""
382,"eCamera","Blackberry","",0,0,""
383,"Funny Animal Frames","Blackberry","",0,0,""
384,"Vintage Camera Free","Blackberry","",0,0,""
385,"FotoFilter Free","Blackberry","",0,0,""
386,"FileNew","Apple","",0,0,""
387,"Mirrorly","Apple","",0,0,""
388,"OVLA","Apple","",0,0,""
389,"PicTapGo","Apple","",0,0,""
390,"VSCO","Apple","",0,0,""
391,"Mextures","Apple","",0,0,""
392,"Effects Studio","Apple","",0,0,""
393,"Live Focus","Apple","",0,0,""
394,"Annotable","Apple","",0,0,""
395,"MuseCam","Apple","",0,0,""
396,"MaxCurve","Apple","",0,0,""
397,"Analogue","Apple","",0,0,""
398,"This by Tinrocket","Apple","",0,0,""
399,"Lumibee","Apple","",0,0,""
400,"Polarr Photo Editor","Apple","",0,0,""
401,"BitCam","Apple","",0,0,""
402,"Vimli","Apple","",0,0,""
403,"ProCamera + HDR & LowLight","Apple","",0,0,""
404,"Moment ","Apple","",0,0,""
405,"Mavis","Apple","",0,0,""
406,"Finally","Apple","",0,0,""
407,"M Cam","Apple","",0,0,""
408,"Elie","Apple","",0,0,""
409,"Fotomecha","Apple","",0,0,""
410,"ProShot","Apple","",0,0,""
411,"Baby Story","Apple","",0,0,""
412,"Slo Mo Video","Apple","",0,0,""
413,"Slide -3D Gif Camera","Apple","",0,0,""
414,"Musemage ","Apple","",0,0,""
415,"Audrey","Apple","",0,0,""
416,"HIPSTAMATIC","Apple","",0,0,""
417,"Camera+ ","Apple","",0,0,""
418,"Horizon Camera","Apple","",0,0,""
419,"Spark Camera","Apple","",0,0,""
420,"ProCam 3","Apple","",0,0,""
421,"Top Camera 2","Apple","",0,0,""
422,"Focus [+]-","Apple","",0,0,""
423,"infltr","Apple","",0,0,""
424,"Colorburn","Apple","",0,0,""
425,"Slow Shutter Cam","Apple","",0,0,""
426,"BestMe Selfie Camera","Apple","",0,0,""
427,"Seene","Apple","",0,0,""
428,"Smile Cam","Apple","",0,0,""
429,"Shoot by ProCam","Apple","",0,0,""
430,"Hipstamatic DSPO","Apple","",0,0,""
431,"Cinimatic","Apple","",0,0,""
432,"CollabraCam","Apple","",0,0,""
433,"FilMiC Pro","Apple","",0,0,""
434,"Camu ","Apple","",0,0,""
435,"Paper Camera","Apple","",0,0,""
436,"Steady Camera","Apple","",0,0,""
437,"Hyperlapse","Apple","",0,0,""
438,"Camera 360","Apple","",0,0,""
439,"NightCap Pro","Apple","",0,0,""
440,"8mm Vintage Camera","Apple","",0,0,""
441,"Hydra","Apple","",0,0,""
442,"TinType by Hipstamatic","Apple","",0,0,""
443,"Camera Plus","Apple","",0,0,""
444,"Manual Cam","Apple","",0,0,""
445,"Lapse it Pro","Apple","",0,0,""
446,"BBuzzArt","Apple","",0,0,""
447,"500px","Apple","",0,0,""
448,"Flare","Apple","",0,0,""
449,"Vimeo","Apple","",0,0,""
450,"Showzee","Apple","",0,0,""
451,"Getty Images","Apple","",0,0,""
452,"Colortopia","Apple","",0,0,""
453,"Byte","Apple","",0,0,""
454,"Instagram","Apple","",0,0,""
455,"Postly","Apple","",0,0,""
456,"Clashem","Apple","",0,0,""
457,"Flamingo","Apple","",0,0,""
458,"Timehop","Apple","",0,0,""
459,"Wander Co","Apple","",0,0,""
460,"Lappsy","Apple","",0,0,""
461,"Storie","Apple","",0,0,""
462,"Cardwhel","Apple","",0,0,""
463,"Steller","Apple","",0,0,""
464,"SocialBattles","Apple","",0,0,""
465,"Snapwire","Apple","",0,0,""
466,"Roll","Apple","",0,0,""
467,"PHHHOTO","Apple","",0,0,""
468,"Vine","Apple","",0,0,""
469,"Kanvas","Apple","",0,0,""
470,"Storehouse","Apple","",0,0,""
471,"Flickr","Apple","",0,0,""
472,"Snapchat","Apple","",0,0,""
473,"Frontback","Apple","",0,0,""
474,"Getty Images Stream","Apple","",0,0,""
475,"Memoir","Apple","",0,0,""
476,"MixBit","Apple","",0,0,""
477,"iStock","Apple","",0,0,""
478,"Oggl","Apple","",0,0,""
479,"Sphere ","Apple","",0,0,""
480,"Undercover","Apple","",0,0,""
481,"File New","Apple","",0,0,""
482,"Live Wallpapers by Pulse","Apple","",0,0,""
483,"Foodie","Apple","",0,0,""
484,"Cinemagraph Pro","Apple","",0,0,""
485,"Ultralight / Photo Editor","Apple","",0,0,""
486,"Enlight","Apple","",0,0,""
487,"Pixelmator","Apple","",0,0,""
488,"MOLDIV","Apple","",0,0,""
489,"Relight ","Apple","",0,0,""
490,"Defocus","Apple","",0,0,""
491,"Afterlight","Apple","",0,0,""
492,"Lucid","Apple","",0,0,""
493,"Color Curves","Apple","",0,0,""
494,"Whitagram","Apple","",0,0,""
495,"Priime","Apple","",0,0,""
496,"Inkboard","Apple","",0,0,""
497,"Filterloop Pro","Apple","",0,0,""
498,"Darkroom ","Apple","",0,0,""
499,"Pixl TM","Apple","",0,0,""
500,"Bazaart","Apple","",0,0,""
501,"EyeEm","Apple","",0,0,""
502,"B612","Apple","",0,0,""
503,"Fragment","Apple","",0,0,""
504,"Retype","Apple","",0,0,""
505,"PicJoy","Apple","",0,0,""
506,"Generate App","Apple","",0,0,""
507,"Waterlogue","Apple","",0,0,""
508,"Sparelens","Apple","",0,0,""
509,"Cover","Apple","",0,0,""
510,"Matter ","Apple","",0,0,""
511,"Union","Apple","",0,0,""
512,"Coowl","Apple","",0,0,""
513,"Typorama","Apple","",0,0,""
514,"Shift ","Apple","",0,0,""
515,"BLACK","Apple","",0,0,""
516,"REBELSAUCE","Apple","",0,0,""
517,"Filters for iPhone and iPad","Apple","",0,0,""
518,"PICSPLAY 2","Apple","",0,0,""
519,"Looksee","Apple","",0,0,""
520,"Lumis","Apple","",0,0,""
521,"Video 2","Apple","",0,0,""
522,"Bitpoem","Apple","",0,0,""
523,"Facetune","Apple","",0,0,""
524,"Fused ","Apple","",0,0,""
525,"Photo Editor by Aviary","Apple","",0,0,""
526,"PicPlayPost","Apple","",0,0,""
527,"Camera+ ","Apple","",0,0,""
528,"Manual  ","Apple","",0,0,""
529,"Project Life","Apple","",0,0,""
530,"POMELO","Apple","",0,0,""
531,"Fotograf","Apple","",0,0,""
532,"Photo Wizard Pro","Apple","",0,0,""
533,"Opak Photo Editor","Apple","",0,0,""
534,"Lumie","Apple","",0,0,""
535,"SKRWT","Apple","",0,0,""
536,"layr","Apple","",0,0,""
537,"XTRAPOP","Apple","",0,0,""
538,"Cameleon","Apple","",0,0,""
539,"Color Splash","Apple","",0,0,""
540,"Brishstroke","Apple","",0,0,""
541,"Stacklabels","Apple","",0,0,""
542,"Rookie Cam","Apple","",0,0,""
543,"LoryStripes","Apple","",0,0,""
544,"Pixlr","Apple","",0,0,""
545,"Isometric","Apple","",0,0,""
546,"vhoto","Apple","",0,0,""
547,"Adobe Photoshop Mix","Apple","",0,0,""
548,"Image Blender","Apple","",0,0,""
549,"PosterLabs","Apple","",0,0,""
550,"Adobe Photoshop ","Apple","",0,0,""
551,"Snapseed","Apple","",0,0,""
552,"Repix","Apple","",0,0,""
553,"PicLab Studio","Apple","",0,0,""
554,"GoPro","Windows","",0,0,""
555,"PicsArt","Windows","",0,0,""
556,"Snap Photo Filters & Stickers","Windows","",0,0,""
557,"Phototastic Collage","Windows","",0,0,""
558,"VLC","Windows","",0,0,""
559,"das Image","Windows","",0,0,""
560,"Camera 360 Sight ","Windows","",0,0,""
561,"4Blend HDR","Windows","",0,0,""
562,"PicsArt Photo Studio China","Windows","",0,0,""
563,"B612","Windows","",0,0,""
564,"Plex","Windows","",0,0,""
565,"Galleries","Windows","",0,0,""
566,"Fhotoroom","Windows","",0,0,""
567,"Adobe Photoshop Express","Windows","",0,0,""
568,"OneShot","Windows","",0,0,""
569,"Movie Maker 8.1","Windows","",0,0,""
570,"PicStitch","Windows","",0,0,""
571,"Picture Perfect","Windows","",0,0,""
572,"Flipagram","Windows","",0,0,""
573,"Channel 0","Windows","",0,0,""
574,"SplitPic","Windows","",0,0,""
575,"Font Candy Typography","Windows","",0,0,""
576,"Video Editor Master","Windows","",0,0,""
577,"Videoshop","Windows","",0,0,""
578,"ProShot","Windows","",0,0,""
579,"MoliPlayer Pro","Windows","",0,0,""
580,"PicSketch Free","Windows","",0,0,""
581,"Camera 365","Windows","",0,0,""
582,"Media Locker Pro","Windows","",0,0,""
583,"CCPlayer","Windows","",0,0,""
584,"PhotoCollage","Windows","",0,0,""
585,"Video Memories","Windows","",0,0,""
586,"Easy selfie free","Windows","",0,0,""
587,"SuperPhoto","Windows","",0,0,""
588,"Fantasia Painter Free","Windows","",0,0,""
589,"Perfect 365","Windows","",0,0,""
590,"Papercut Free","Windows","",0,0,""
591,"Oplaycast","Windows","",0,0,""
592,"LOL effects","Windows","",0,0,""
593,"Afterlight","Windows","",0,0,""
594,"Vocal Camera","Windows","",0,0,""
595,"Hi Collage","Windows","",0,0,""
596,"Fused","Windows","",0,0,""
597,"PhotFunia","Windows","",0,0,""
598,"InstaSize","Windows","",0,0,""
599,"Video Cutter & Compressor","Windows","",0,0,""
600,"TouchRetouch","Windows","",0,0,""
601,"Create A Perfect Selfie","Windows","",0,0,""
602,"Fantasia Painter ","Windows","",0,0,""
603,"Photo Box Pro","Windows","",0,0,""
604,"Beautiful Photo ","Windows","",0,0,""
605,"My Webcam","Windows","",0,0,""
606,"Upload to Youtube","Windows","",0,0,""
607,"Lock Themes","Windows","",0,0,""
608,"CropiPic ","Windows","",0,0,""
609,"IP CAM Controller","Windows","",0,0,""
610,"Pano","Windows","",0,0,""
611,"Pencil Sketch Collage","Windows","",0,0,""
612,"Beardify","Windows","",0,0,""
613,"Pic Collage","Windows","",0,0,""
614,"Tattoo My Photo Editor 2.0","Windows","",0,0,""
615,"GeoPhoto","Windows","",0,0,""
616,"Oldify ","Windows","",0,0,""
617,"Sceret Photos & Videos","Windows","",0,0,""
618,"InstaBeauty Selfies","Windows","",0,0,""
619,"Pictures Lab","Windows","",0,0,""
620,"GIF Viewer","Windows","",0,0,""
621,"Camera Remote","Windows","",0,0,""
622,"Sketch Camera","Windows","",0,0,""
623,"Video to Photo","Windows","",0,0,""
624,"HDR Photo Camera ","Windows","",0,0,""
625,"PicLab","Windows","",0,0,""
